conversation_id,in_reply_to_user_id,public_metrics,created_at,author_id,id,text
1466829387773448196,937854254022320128,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 6, 'quote_count': 0}",2021-12-04T05:54:14.000Z,2470744215,1467009329891090436,"@manalucii @luis7md @Fiuk mas a pessoa vai pro programa sabendo disso, que o humor da tata é baseado nessa questão. aceitou porque quis, então meio que não faz sentido o convidado achar ruim, tendo em vista o conhecimento do humor que o apresentador utiliza em suas entrevistas, amiga."
1467009045508804612,,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 0, 'quote_count': 0}",2021-12-04T05:53:06.000Z,1271837566556389380,1467009045508804612,oq rolou com o fiuk e com a tata?
1467007227999531014,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2021-12-04T05:45:53.000Z,1247030162123894784,1467007227999531014,nunca vou entender como tem gente que gosta do fiuk serio
1466828519930015744,15336738,"{'retweet_count': 0, 'reply_count': 9, 'like_count': 11, 'quote_count': 0}",2021-12-04T05:45:15.000Z,3406738132,1467007069832286208,"@bicmuller Cara,acho tão complicado esse julgamento sempre tão violento contra o fiuk,pq ele é um cara visivelmente inseguro e com problemas emocionais,então acho q esse é o jeito dele se defender qdo se vê numa situação desconfortável."
1467006745440571393,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2021-12-04T05:43:58.000Z,1464544919838679045,1467006745440571393,"Esse Fiuk é um insuportável mesmo pqp, cara chatooooooo, a Tata coitada deve ter se arrependido tanto de ter chamado ele https://t.co/grnR1Gyr90"
1467006645217763332,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2021-12-04T05:43:34.000Z,2960924872,1467006645217763332,gente o fiuk tem a mesma energia de uma pessoa que eu conheço véi sério
1467005211248050177,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2021-12-04T05:37:52.000Z,2909449901,1467005211248050177,"Fiuk não gosta de brincadeirinha, é só não ir num programa de humor e estragar tudo"
1467004215998525443,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 4, 'quote_count': 0}",2021-12-04T05:33:55.000Z,1240874707282427905,1467004215998525443,"Fiuk não tem nenhuma serventia pra nenhuma arte.
Talvez em uma metalúrgica das 14 às 22 será melhor. https://t.co/Gw07nxhvEI"
1467003279670484994,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2021-12-04T05:30:12.000Z,3423123285,1467003279670484994,Ainda inconformada com o quão babaca o Fiuk foi com a Tatá
1467001773248368640,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2021-12-04T05:24:12.000Z,770197946604331008,1467001773248368640,"A gente percebe com essa entrevista aqui que é questão de entrega à proposta do programa mesmo. Quem vai, sabe que tem de estar disposto a jogar com a Tatá. #Fiuk #TataWerneck #LadyNight https://t.co/YjzNZZgDvk"
1466960119363690499,1454527830163927046,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2021-12-04T05:23:50.000Z,1420875134475423744,1467001680478806018,"@CentrallRicoo Muito simples, só lembrarem do Fiuk,foi ficando, ficando e terminou em 3°,se não tivermos foco só no @RicoMelquiades ,vai descansar.#TeamRico"
1467001651772940289,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 6, 'quote_count': 0}",2021-12-04T05:23:44.000Z,1449810093042769924,1467001651772940289,Medo de ser igual ao Fiuk e ninguém me avisar
1467001262587760641,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",2021-12-04T05:22:11.000Z,1198214982497902592,1467001262587760641,a conversa de que herdeiro é sempre bem sucedido é falácia e Fiuk é a maior prova disso
1467000482807824386,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2021-12-04T05:19:05.000Z,802566802240847876,1467000482807824386,meu deus como esse fiuk é insuportável
1466999675085459464,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2021-12-04T05:15:52.000Z,40042091,1466999675085459464,"Fiuk é detonado na web por 'desestabilizar' Tatá Werneck durante o Lady Night: ""Insuportável"" #msnbrasil https://t.co/LFMA1luRRH"
1466999519279788033,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2021-12-04T05:15:15.000Z,1234231249868410881,1466999519279788033,é o chapéu do fiuk do lado da cama do bil?
